hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
City Hotel,1,500,2017,May,20,17,5,3,2,0.0,0,BB,ESP,Direct,Corporate,1,0,4,A,F,0,No Deposit,0.0,0.0,0,Transient,113.45,0,0,Canceled,2016-02-11
City Hotel,0,36,2018,June,24,3,0,3,1,0.0,0,BB,DEU,Online TA,Undefined,0,0,0,A,A,0,Non Refund,1.0,,5,Transient,72.93,0,2,Check-Out,2015-11-02
City Hotel,0,21,2016,November,25,27,2,4,2,1.0,2,SC,RUS,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,0.0,0,Transient,78.79,0,1,Check-Out,2018-10-10
City Hotel,0,94,2016,September,15,20,2,2,2,0.0,0,SC,BRA,Online TA,TA/TO,1,0,1,A,F,0,No Deposit,1.0,,15,Contract,138.16,0,0,Check-Out,2017-10-21
City Hotel,0,96,2017,December,33,18,2,1,1,1.0,0,BB,PRT,Online TA,Direct,0,0,0,A,A,0,No Deposit,0.0,,2,Transient,85.7,1,0,Check-Out,2017-12-08
City Hotel,1,305,2017,August,31,25,2,4,1,0.0,0,BB,PRT,Online TA,GDS,0,0,0,D,G,0,No Deposit,5.0,,0,Transient,121.47,0,4,Canceled,2016-11-16
City Hotel,0,3,2017,May,8,27,2,4,2,0.0,0,BB,PRT,Online TA,TA/TO,1,0,1,A,D,2,No Deposit,2.0,,0,Transient,83.17,0,2,Check-Out,2017-06-25
City Hotel,0,62,2017,June,30,15,0,5,1,3.0,0,BB,PRT,Online TA,GDS,0,0,0,A,B,0,Non Refund,7.0,,0,Transient,141.34,0,1,Check-Out,2016-09-01
City Hotel,1,44,2016,May,31,23,2,4,2,0.0,0,BB,FIN,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,3.0,0.0,0,Transient,112.48,0,0,Canceled,2018-12-28
City Hotel,0,101,2019,June,47,1,2,2,2,2.0,0,BB,PRT,Direct,Direct,0,0,0,D,A,0,No Deposit,3.0,,0,Transient,92.13,0,2,Check-Out,2018-02-17
City Hotel,1,1,2016,September,13,9,1,2,3,1.0,0,BB,ESP,Direct,TA/TO,0,0,0,A,A,0,No Deposit,3.0,,0,Transient,94.77,0,0,Canceled,2018-11-18
City Hotel,1,148,2018,July,46,6,2,4,1,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,,,0,Transient,128.11,0,5,Canceled,2015-07-03
Resort Hotel,0,108,2017,June,38,18,1,3,3,0.0,0,BB,FRA,Direct,TA/TO,0,0,0,A,A,2,Non Refund,3.0,,0,Group,131.21,0,0,Check-Out,2017-09-13
City Hotel,0,144,2019,March,7,1,3,3,2,0.0,0,BB,IRL,Direct,TA/TO,1,0,3,A,A,1,No Deposit,,,0,Transient,103.26,0,1,Check-Out,2016-12-06
City Hotel,0,71,2019,January,6,22,0,6,2,0.0,0,HB,RUS,Online TA,TA/TO,0,1,0,G,B,0,No Deposit,1.0,,5,Transient,55.87,0,0,Check-Out,2016-11-07
City Hotel,0,77,2018,April,31,7,0,6,4,0.0,0,SC,IRL,Aviation,TA/TO,0,0,0,D,E,1,No Deposit,3.0,,0,Transient,50.04,0,1,Check-Out,2017-11-16
City Hotel,0,271,2018,March,21,10,2,4,1,0.0,0,BB,CHE,Offline TA/TO,TA/TO,0,0,0,D,D,3,No Deposit,7.0,,0,Transient,69.52,0,0,Check-Out,2018-06-03
City Hotel,1,28,2016,October,28,6,5,4,2,0.0,0,HB,PRT,Direct,TA/TO,0,0,0,D,D,0,No Deposit,0.0,,0,Group,75.37,1,0,Canceled,2018-07-12
City Hotel,0,29,2019,March,12,7,1,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,D,G,0,No Deposit,0.0,,0,Transient,20.77,1,1,Check-Out,2016-10-25
City Hotel,1,98,2019,September,3,6,0,3,2,1.0,0,BB,ESP,Offline TA/TO,Direct,0,0,0,D,F,4,No Deposit,1.0,,0,Transient-Party,104.5,0,1,Canceled,2018-04-11
Resort Hotel,1,43,2019,June,40,8,1,2,2,0.0,0,BB,GBR,Direct,TA/TO,0,0,0,G,A,0,No Deposit,2.0,0.0,0,Transient,142.8,0,2,Canceled,2017-12-03
Resort Hotel,0,137,2018,February,9,2,2,0,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,E,A,0,No Deposit,3.0,0.0,0,Contract,91.97,0,2,Check-Out,2017-10-09
Resort Hotel,0,24,2017,October,41,9,4,5,2,0.0,1,HB,PRT,Corporate,TA/TO,0,0,0,A,D,0,No Deposit,0.0,,0,Transient,90.28,0,0,Check-Out,2017-08-07
City Hotel,1,31,2019,August,28,25,0,2,3,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,C,A,0,No Deposit,3.0,,0,Transient,126.48,0,1,Canceled,2018-02-04
City Hotel,0,17,2017,May,22,27,4,6,2,1.0,0,BB,GBR,Corporate,TA/TO,0,0,0,A,C,4,No Deposit,2.0,1.0,0,Transient-Party,79.6,1,0,Check-Out,2016-01-09
Resort Hotel,0,22,2018,November,18,9,4,3,1,0.0,0,BB,ESP,Direct,TA/TO,0,0,0,E,A,0,No Deposit,6.0,0.0,0,Transient,68.06,0,2,Check-Out,2019-03-17
City Hotel,0,297,2016,February,50,7,2,4,2,0.0,0,BB,GBR,Online TA,Direct,0,2,0,A,A,0,No Deposit,5.0,0.0,0,Transient-Party,81.11,0,1,Check-Out,2016-02-25
City Hotel,1,194,2019,April,14,9,1,2,2,0.0,1,BB,DEU,Online TA,TA/TO,0,2,0,A,D,0,No Deposit,0.0,,10,Contract,107.1,0,2,Canceled,2019-01-31
City Hotel,0,18,2017,September,45,17,2,1,2,2.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,1,Non Refund,1.0,,0,Transient,125.07,0,0,Check-Out,2017-03-07
City Hotel,1,5,2017,September,41,3,3,5,2,0.0,0,BB,ITA,Online TA,Direct,0,0,0,A,A,1,No Deposit,5.0,,0,Transient,95.48,0,2,Canceled,2017-02-26
Resort Hotel,1,10,2018,May,10,16,1,4,2,0.0,0,BB,PRT,Online TA,TA/TO,1,0,1,E,B,0,No Deposit,,,0,Transient,84.73,0,0,Canceled,2017-05-05
City Hotel,0,41,2018,February,49,16,4,4,2,0.0,0,BB,BEL,Online TA,Direct,0,0,0,C,D,0,Non Refund,0.0,,0,Transient,94.23,0,4,Check-Out,2018-04-30
Resort Hotel,0,41,2018,November,6,2,0,1,2,0.0,0,BB,CHN,Corporate,TA/TO,0,0,0,A,A,1,No Deposit,7.0,,0,Contract,82.37,0,1,No-Show,2019-03-21
City Hotel,1,46,2017,May,20,11,1,3,2,0.0,0,FB,ESP,Online TA,TA/TO,0,0,0,F,A,0,No Deposit,0.0,,5,Transient,75.32,0,1,Canceled,2019-05-07
City Hotel,0,24,2016,April,13,16,5,2,1,0.0,0,HB,NLD,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,8.0,,0,Transient-Party,81.84,1,1,Check-Out,2018-10-06
City Hotel,1,60,2018,July,47,15,2,3,2,1.0,0,SC,BRA,Offline TA/TO,TA/TO,0,0,0,E,D,0,No Deposit,0.0,0.0,0,Transient,93.23,0,1,Canceled,2019-05-16
City Hotel,0,15,2019,November,12,1,2,3,2,0.0,0,BB,ESP,Corporate,TA/TO,0,0,0,A,A,0,No Deposit,0.0,0.0,0,Transient,46.42,1,5,Check-Out,2016-10-07
Resort Hotel,1,160,2019,February,11,21,1,1,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,,0,Transient,60.67,0,1,Canceled,2018-05-16
Resort Hotel,1,149,2018,September,43,17,4,3,2,0.0,0,BB,GBR,Complementary,TA/TO,0,0,0,A,A,0,No Deposit,3.0,0.0,0,Transient,147.08,0,0,Canceled,2019-01-24
Resort Hotel,0,2,2019,August,22,3,1,0,3,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,F,D,3,No Deposit,7.0,0.0,0,Transient,148.66,1,0,Check-Out,2018-01-03
Resort Hotel,1,13,2018,July,51,22,3,1,1,2.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,6.0,,30,Transient,154.03,1,1,Canceled,2018-08-29
City Hotel,0,72,2018,September,29,22,3,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,F,F,1,No Deposit,0.0,,0,Transient,113.6,0,1,Check-Out,2015-07-03
Resort Hotel,1,163,2018,December,22,19,0,3,2,0.0,0,BB,NLD,Direct,TA/TO,1,0,2,A,A,0,No Deposit,0.0,,3,Transient-Party,60.31,0,5,Canceled,2017-03-18
City Hotel,0,9,2018,April,51,20,2,4,3,0.0,0,HB,PRT,Direct,TA/TO,0,1,0,D,A,0,No Deposit,0.0,,0,Transient,111.5,0,1,Check-Out,2016-05-20
City Hotel,0,8,2018,March,20,7,1,4,2,1.0,0,BB,BEL,Online TA,Corporate,1,0,2,D,F,1,Non Refund,0.0,,2,Transient,50.75,1,1,Check-Out,2017-03-27
City Hotel,1,45,2018,November,51,22,0,2,3,0.0,2,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0.0,,15,Transient,58.29,1,0,Canceled,2015-12-22
City Hotel,0,64,2017,August,10,11,0,2,3,0.0,0,HB,SWE,Online TA,TA/TO,0,2,0,E,A,1,Non Refund,0.0,,0,Transient-Party,125.55,0,0,Check-Out,2016-10-16
City Hotel,0,29,2017,July,32,18,0,1,2,0.0,0,SC,NLD,Offline TA/TO,Direct,0,2,0,G,A,1,No Deposit,6.0,,0,Transient,135.95,0,0,Check-Out,2019-01-29
City Hotel,0,3,2016,August,38,25,3,0,3,1.0,0,BB,PRT,Corporate,Direct,0,0,0,C,A,1,No Deposit,2.0,,0,Transient-Party,122.54,0,0,Check-Out,2019-04-02
Resort Hotel,1,61,2018,September,43,14,3,2,1,2.0,0,BB,NLD,Online TA,Direct,0,0,0,A,D,0,No Deposit,0.0,0.0,0,Transient,106.44,0,0,Canceled,2015-10-24
City Hotel,0,68,2017,October,45,16,2,3,3,0.0,0,BB,DEU,Online TA,Corporate,0,0,0,D,G,1,No Deposit,0.0,,3,Transient,102.06,0,0,Check-Out,2016-01-08
City Hotel,0,9,2017,November,23,6,2,6,1,0.0,2,BB,BRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,4.0,,0,Transient,64.41,0,4,Check-Out,2017-12-01
City Hotel,1,151,2018,July,43,2,1,4,4,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,F,0,No Deposit,0.0,,0,Transient,132.72,2,0,Canceled,2016-11-06
City Hotel,0,96,2018,May,51,23,3,6,2,0.0,0,BB,DEU,Offline TA/TO,Direct,0,1,0,D,B,0,Refundable,8.0,,0,Transient,138.28,0,0,Check-Out,2017-03-16
Resort Hotel,0,40,2018,August,33,11,2,2,3,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,D,D,1,No Deposit,3.0,,2,Transient,145.18,2,2,Check-Out,2015-11-23
City Hotel,0,87,2018,June,6,11,4,4,2,0.0,0,BB,NOR,Direct,TA/TO,0,0,0,A,E,2,No Deposit,1.0,,0,Transient,113.8,0,2,Check-Out,2017-01-20
Resort Hotel,1,23,2019,August,13,26,3,3,2,3.0,0,BB,ESP,Direct,TA/TO,0,1,0,B,A,0,No Deposit,1.0,,15,Transient,127.17,0,1,Canceled,2018-02-28
Resort Hotel,1,73,2019,June,39,10,0,2,2,0.0,0,BB,FIN,Online TA,TA/TO,0,0,0,B,E,2,No Deposit,0.0,0.0,0,Transient,107.31,1,2,Canceled,2015-08-28
City Hotel,0,179,2019,April,4,4,3,1,1,1.0,1,BB,BRA,Direct,TA/TO,0,0,0,F,B,0,No Deposit,4.0,0.0,0,Transient,86.05,1,1,Check-Out,2016-01-06
City Hotel,0,93,2018,July,29,17,0,2,2,2.0,0,BB,PRT,Direct,Corporate,0,0,0,D,A,3,No Deposit,8.0,,0,Transient-Party,148.69,2,1,No-Show,2019-01-10
Resort Hotel,0,91,2017,September,41,10,3,6,4,0.0,0,BB,PRT,Online TA,Corporate,1,0,1,B,B,3,No Deposit,1.0,,0,Contract,90.98,1,0,Check-Out,2016-06-07
Resort Hotel,0,3,2019,October,14,9,5,0,2,0.0,0,BB,FIN,Corporate,TA/TO,1,0,3,A,A,1,No Deposit,2.0,1.0,0,Transient,106.52,0,0,No-Show,2017-10-16
Resort Hotel,0,10,2017,July,48,13,2,5,1,0.0,0,BB,GBR,Groups,TA/TO,0,0,0,C,A,0,No Deposit,7.0,,0,Transient-Party,111.77,0,0,Check-Out,2019-03-24
Resort Hotel,0,37,2017,April,20,11,1,4,3,0.0,0,BB,FRA,Online TA,Direct,0,0,0,A,A,0,Non Refund,5.0,,0,Transient,85.32,0,1,Check-Out,2018-11-25
City Hotel,0,61,2018,June,23,10,0,3,2,0.0,0,BB,PRT,Corporate,TA/TO,0,0,0,A,D,2,No Deposit,,,0,Contract,93.66,0,1,Check-Out,2015-08-24
City Hotel,0,0,2016,October,18,24,0,5,2,1.0,0,BB,PRT,Online TA,TA/TO,1,0,2,D,D,2,No Deposit,1.0,,0,Transient,69.84,0,2,Check-Out,2018-09-27
City Hotel,1,23,2019,June,14,5,2,1,2,3.0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,1.0,,10,Transient,108.52,0,2,Canceled,2016-06-11
Resort Hotel,0,54,2018,September,20,3,3,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,E,A,0,No Deposit,0.0,,0,Contract,103.36,0,0,Check-Out,2016-03-17
City Hotel,0,387,2018,July,5,4,4,2,1,0.0,0,HB,DNK,Corporate,TA/TO,1,2,1,D,G,0,No Deposit,0.0,,15,Transient,55.08,0,1,Check-Out,2017-08-12
City Hotel,0,8,2018,May,31,3,2,0,4,0.0,0,HB,BRA,Online TA,Corporate,0,0,0,A,A,0,Non Refund,0.0,,0,Transient-Party,81.26,0,0,Check-Out,2019-05-10
City Hotel,0,83,2018,October,15,10,0,3,2,0.0,1,BB,PRT,Offline TA/TO,Corporate,1,0,3,A,E,0,No Deposit,7.0,,0,Transient,68.8,1,0,Check-Out,2015-09-09
City Hotel,1,302,2016,March,9,24,5,3,3,0.0,0,BB,PRT,Corporate,TA/TO,1,0,1,D,A,1,No Deposit,6.0,,0,Transient,65.98,0,0,Canceled,2017-03-20
City Hotel,0,112,2018,July,32,13,3,3,3,0.0,0,BB,FRA,Direct,TA/TO,0,0,0,D,A,0,No Deposit,7.0,,0,Group,103.86,0,1,Check-Out,2016-12-04
Resort Hotel,1,31,2018,April,12,5,1,2,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,B,F,0,No Deposit,2.0,0.0,0,Transient,103.33,0,0,Canceled,2017-08-08
City Hotel,0,163,2018,February,52,13,3,4,1,0.0,0,BB,POL,Direct,TA/TO,0,0,0,A,D,0,No Deposit,0.0,,0,Transient-Party,76.37,0,0,Check-Out,2018-02-06
Resort Hotel,1,9,2018,July,35,27,2,2,2,2.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,2,No Deposit,3.0,1.0,1,Transient,108.0,3,0,Canceled,2018-06-22
City Hotel,1,25,2017,July,17,24,2,3,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,B,1,No Deposit,3.0,,0,Transient,143.56,0,0,Canceled,2017-10-31
City Hotel,0,225,2017,September,2,1,5,7,2,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,A,4,Refundable,6.0,,0,Transient,123.09,1,0,Check-Out,2018-04-04
Resort Hotel,0,160,2017,September,28,25,3,4,4,2.0,0,BB,GBR,Online TA,Direct,0,0,0,D,D,0,Non Refund,0.0,,0,Transient-Party,115.64,0,0,No-Show,2017-03-19
Resort Hotel,0,29,2017,September,51,11,1,3,2,3.0,0,SC,PRT,Online TA,TA/TO,0,0,0,E,D,1,Non Refund,2.0,,1,Transient-Party,123.27,0,1,Check-Out,2019-08-05
City Hotel,0,13,2019,June,15,26,0,3,2,0.0,0,BB,CHN,Direct,TA/TO,1,0,3,B,D,0,No Deposit,6.0,,0,Transient-Party,123.75,0,1,Check-Out,2016-11-02
Resort Hotel,1,70,2019,August,47,3,0,4,2,1.0,1,BB,PRT,Direct,TA/TO,0,0,0,D,E,0,No Deposit,6.0,,0,Transient,144.65,0,2,Canceled,2016-09-22
City Hotel,0,77,2017,August,21,17,2,1,1,0.0,0,HB,FIN,Corporate,TA/TO,1,0,3,B,D,1,No Deposit,6.0,,0,Transient,149.65,0,0,Check-Out,2016-06-20
City Hotel,0,500,2018,July,33,19,1,1,3,0.0,0,BB,GBR,Online TA,TA/TO,0,3,0,A,G,0,Non Refund,0.0,,0,Transient,125.76,2,0,Check-Out,2016-03-09
City Hotel,1,58,2018,August,33,13,2,1,2,0.0,0,HB,PRT,Direct,Corporate,1,0,2,E,D,0,No Deposit,3.0,,0,Transient,151.52,1,2,Canceled,2017-04-13
City Hotel,0,378,2017,December,11,16,0,4,4,1.0,0,BB,ITA,Online TA,TA/TO,1,0,3,G,A,0,No Deposit,6.0,,0,Transient,91.51,0,2,No-Show,2018-05-31
City Hotel,1,62,2017,April,32,18,1,4,2,0.0,0,BB,SWE,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,0.0,,0,Transient,67.73,1,0,Canceled,2017-07-21
City Hotel,0,137,2019,November,13,23,3,0,1,2.0,1,HB,NLD,Direct,TA/TO,0,0,0,C,D,1,No Deposit,5.0,,0,Contract,72.81,0,3,Check-Out,2017-11-09
City Hotel,0,123,2018,February,32,26,3,1,1,0.0,2,HB,PRT,Online TA,GDS,0,0,0,A,A,0,No Deposit,,,0,Transient,81.51,1,0,Check-Out,2017-06-20
City Hotel,1,10,2019,May,6,20,1,7,3,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,B,D,2,No Deposit,,,0,Transient-Party,104.69,0,0,Canceled,2015-09-06
City Hotel,1,163,2017,May,45,23,1,2,2,0.0,0,BB,USA,Offline TA/TO,TA/TO,0,0,0,F,A,0,No Deposit,,,0,Transient-Party,102.97,1,2,Canceled,2018-12-02
Resort Hotel,0,55,2018,August,17,19,4,3,2,3.0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,A,0,No Deposit,0.0,,0,Transient,149.95,0,0,Check-Out,2015-08-26
City Hotel,0,59,2017,March,15,6,0,3,3,1.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,D,G,0,No Deposit,4.0,,0,Transient,104.07,0,0,Check-Out,2016-11-10
City Hotel,0,182,2017,November,9,23,1,6,2,0.0,0,BB,DEU,Corporate,Undefined,0,0,0,A,A,0,No Deposit,3.0,,1,Transient,76.7,0,0,Check-Out,2018-05-26
Resort Hotel,1,8,2018,October,7,7,3,1,4,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,1.0,,0,Transient,135.85,0,1,Canceled,2015-08-09
City Hotel,0,98,2017,August,23,15,2,3,3,0.0,2,Undefined,Unknown,Direct,Corporate,0,0,0,A,A,0,Non Refund,2.0,,2,Transient-Party,111.38,0,1,Check-Out,2016-09-10
City Hotel,1,87,2017,July,2,5,0,1,1,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,B,A,1,No Deposit,6.0,,0,Transient-Party,113.97,0,1,Canceled,2016-10-05
City Hotel,0,84,2017,December,17,16,0,3,1,0.0,0,BB,CHE,Offline TA/TO,TA/TO,0,0,0,C,A,0,No Deposit,4.0,,0,Transient,76.55,0,0,Check-Out,2017-10-02
City Hotel,0,203,2016,October,8,6,0,2,2,0.0,0,HB,DEU,Corporate,Direct,0,0,0,A,A,0,No Deposit,3.0,0.0,0,Transient,101.6,0,0,Check-Out,2016-10-31
Resort Hotel,0,79,2018,July,4,3,2,2,3,1.0,0,SC,POL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0.0,,0,Transient-Party,119.96,1,1,Check-Out,2015-12-30
Resort Hotel,1,43,2018,September,14,12,2,2,2,0.0,0,BB,FIN,Online TA,Corporate,1,0,1,A,A,0,No Deposit,4.0,,0,Transient,108.27,0,0,Canceled,2018-09-17
City Hotel,0,57,2016,August,29,4,0,3,1,0.0,0,BB,DNK,Corporate,Corporate,1,0,1,A,A,0,No Deposit,0.0,,0,Transient,154.13,0,1,No-Show,2017-11-04
Resort Hotel,0,4,2017,August,2,27,0,4,1,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,D,A,0,No Deposit,4.0,0.0,2,Transient-Party,151.78,0,0,No-Show,2018-03-27
Resort Hotel,0,203,2017,June,7,22,3,4,2,0.0,0,SC,Unknown,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,2.0,,0,Transient-Party,133.78,0,2,Check-Out,2018-11-06
City Hotel,0,232,2018,July,43,3,1,3,2,0.0,0,BB,GBR,Offline TA/TO,Corporate,0,0,0,E,E,0,No Deposit,2.0,,0,Transient,103.39,0,2,Check-Out,2016-08-26
Resort Hotel,0,169,2016,February,15,16,5,5,1,1.0,0,BB,IRL,Online TA,TA/TO,0,0,0,B,D,2,Non Refund,5.0,,0,Transient,90.83,0,1,Check-Out,2019-07-15
City Hotel,0,143,2018,June,34,16,1,3,1,0.0,0,SC,RUS,Groups,Undefined,0,0,0,A,A,0,No Deposit,5.0,,0,Transient,121.96,0,2,Check-Out,2019-08-07
Resort Hotel,1,17,2016,September,30,23,1,4,1,0.0,0,BB,PRT,Online TA,TA/TO,0,1,0,C,A,1,No Deposit,5.0,,0,Transient-Party,155.73,0,2,Canceled,2016-05-14
Resort Hotel,1,60,2017,December,8,19,1,2,1,0.0,0,BB,USA,Online TA,Undefined,0,1,0,A,B,2,Refundable,2.0,,2,Contract,68.93,0,2,Canceled,2018-03-17
City Hotel,0,118,2019,December,5,15,3,3,2,1.0,0,BB,Unknown,Corporate,Direct,0,0,0,A,B,1,Non Refund,3.0,,0,Contract,56.07,0,0,Check-Out,2016-12-24
City Hotel,1,86,2018,August,40,9,2,1,3,0.0,0,BB,PRT,Online TA,Corporate,0,0,0,B,A,0,Refundable,5.0,,15,Group,133.14,0,4,Canceled,2017-01-02
City Hotel,0,78,2016,August,47,20,4,6,1,1.0,0,BB,RUS,Online TA,TA/TO,0,0,0,F,A,0,No Deposit,1.0,0.0,0,Transient,159.28,0,0,Check-Out,2019-05-02
City Hotel,0,120,2019,April,47,2,1,3,2,0.0,0,BB,DEU,Offline TA/TO,TA/TO,1,0,2,A,A,4,No Deposit,7.0,,0,Contract,62.11,0,0,Check-Out,2018-07-16
Resort Hotel,0,57,2018,September,40,6,2,5,1,0.0,0,FB,NOR,Direct,TA/TO,0,2,0,A,A,2,No Deposit,,,0,Transient,101.61,1,0,Check-Out,2019-02-17
Resort Hotel,1,28,2019,February,18,14,0,2,2,0.0,1,FB,ESP,Online TA,TA/TO,1,0,5,A,A,1,No Deposit,0.0,0.0,10,Transient,63.28,0,2,Canceled,2017-10-15
City Hotel,1,134,2018,May,4,9,2,0,2,3.0,0,HB,CHN,Corporate,TA/TO,0,0,0,A,C,0,No Deposit,3.0,,0,Contract,93.71,0,2,Canceled,2017-03-25
City Hotel,1,217,2018,August,16,10,0,2,3,0.0,0,BB,BRA,Offline TA/TO,TA/TO,0,2,0,E,A,2,No Deposit,7.0,,0,Transient,137.31,0,0,Canceled,2015-10-13
City Hotel,1,157,2019,May,37,26,0,4,2,1.0,0,BB,ESP,Online TA,TA/TO,1,1,2,A,D,1,No Deposit,1.0,,0,Transient,72.24,0,1,Canceled,2015-10-16
City Hotel,1,46,2017,February,20,18,5,1,2,0.0,0,Undefined,CHE,Offline TA/TO,TA/TO,1,1,2,D,A,0,No Deposit,0.0,,0,Transient,50.35,0,0,Canceled,2015-12-31
City Hotel,0,71,2018,October,39,15,2,1,2,0.0,0,BB,CHE,Online TA,TA/TO,0,0,0,D,A,0,No Deposit,0.0,0.0,15,Transient,83.14,0,0,Check-Out,2017-04-26
City Hotel,0,15,2018,May,30,4,4,1,3,0.0,0,BB,Unknown,Online TA,TA/TO,0,0,0,B,B,0,Non Refund,0.0,1.0,0,Contract,75.08,0,1,Check-Out,2015-08-18
Resort Hotel,0,80,2016,February,42,5,0,1,3,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,B,2,Non Refund,0.0,,0,Transient-Party,50.52,0,0,No-Show,2017-08-01
